Year,Hybrid/Gasoline/Electric,Gasoline - Can Convert to Natural Gas,Diesel,Electric,Flexible Fuel,Gasoline,Compressed Natural Gas,Propane Gas,Other,Other,Type Total,Commercial,Non-Commercial,Official,Registration Categroy Total
2016,320,29,2823,2,4775,52897,0,3,6,3314,64169,2152,64734,874,67400
2017,351,27,2979,5,5298,54286,0,2,9,3382,66180,2238,66551,898,69688
2018,395,23,3032,9,5519,52150,0,1,11,3433,64445,2170,64762,927,67859
2019,421,13,3177,17,5711,52666,0,1,14,3518,65417,2237,65726,992,68955
2020,489,13,3219,27,5938,54494,0,6,14,3549,67614,2245,67839,1050,71134
2021,509,14,3364,47,6025,54814,1,6,14,3643,68322,2333,68558,1131,72022




