IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
29857055,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,10729,SHEPHERDSVILLE,RD,,,,,,,,38.016932953,-85.894456977,0.932,3/24/2022 12:00:00 AM,1516,1,1,0,1,CLOUDY,DRY,False,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,,,3/24/2022 5:17:36 PM,False,1232,Accepted,
29855366,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.998455022,-85.695813246,13.554,3/24/2022 12:00:00 AM,0710,2,2,0,0,CLOUDY,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAWN,,,3/24/2022 10:02:00 AM,False,073,Accepted,
29850361,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.998095936,-85.697418591,13.465,3/21/2022 12:00:00 AM,1530,1,1,0,1,CLEAR,DRY,False,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,3/23/2022 7:25:36 AM,False,079,Accepted,
29837483,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,LOUISE,,,,,38.043738688,-85.546900958,22.438,3/19/2022 12:00:00 AM,0913,2,2,0,0,RAINING,WET,False,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,3/20/2022 11:59:23 AM,False,7732,Accepted,
29837009,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,HILAND,,,,,38.010404387,-85.662223513,15.582,3/19/2022 12:00:00 AM,2255,2,2,0,0,CLOUDY,WET,False,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,3/20/2022 5:21:24 AM,False,1229,Accepted,
29837208,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,BOGARD,,,,,38.026175770,-85.613666361,18.524,3/19/2022 12:00:00 AM,1500,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,3/20/2022 7:45:41 AM,False,1247,Accepted,
29854818,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,9234,OLD MILL,RD,,,,,,,,38.037735269,-85.564695078,21.360,3/18/2022 12:00:00 AM,1542,2,2,0,0,CLOUDY,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,3/24/2022 7:11:23 AM,False,7726,Accepted,
29835121,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,I 0065,I65 N EXIT117 OFF RAMP TO KY44,,,,,37.994285516,-85.703224183,13.025,3/17/2022 12:00:00 AM,1646,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,3/19/2022 12:57:17 PM,False,089,Accepted,
29826068,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,SHEPHERDSVILLE,RD,,KY1526,KNOB CREEK,,,,,38.008387223,-85.865772564,2.729,3/16/2022 12:00:00 AM,1531,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & GRADE,DAYLIGHT,,,3/17/2022 6:16:39 AM,False,1248,Accepted,
29825840,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,W,,,,,,,37.991314115,-85.717083059,12.145,3/16/2022 12:00:00 AM,2017,2,2,0,1,CLEAR,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,3/17/2022 5:23:11 AM,False,103,Accepted,
